http://catalogue.bnf.fr/	http://gallica.bnf.fr/	images	pp	chars	OCR	topic	titre
ark:/12148/cb37562915f	ark:/12148/bpt6k6267812g	low	811	1890669	98.5 	chartes	Cartulaire de l'abbaye de Saint-Victor de Marseille. Tome I
ark:/12148/cb34018041n	ark:/12148/bpt6k62717433	high	374	1388035	98.5 		Rôles gascons. Supplément au tome I : 1254-1255
ark:/12148/cb34018041n	ark:/12148/bpt6k62758658	high	592	2412160	94.68		Rôles gascons. Tome II : 1273-1290
ark:/12148/cb37565583j	ark:/12148/bpt6k6308416n	high	1174	3125553	99.7	lettres	Lettres du cardinal Mazarin pendant son ministère. Tome II : juillet 1644 - décembre 1647
ark:/12148/cb37563767c	ark:/12148/bpt6k6315923v	high	796	1506624	99.93 		Chronique du religieux de Saint-Denys : contenant le règne de Charles VI, de 1380 à 1422. Tome V
ark:/12148/cb37558548j	ark:/12148/bpt6k6328252c	high	687	1433938	99.82 	lettres	Recueil des lettres missives de Henri IV. Tome II : 1585-1589
ark:/12148/cb375629054	ark:/12148/bpt6k6430168x	high	663	1996276	99.8		Paris sous Philippe-le-Bel : d'après des documents originaux et notamment d'après un manuscrit contenant le rôle de la taille imposée sur les habitants de Paris en 1292
ark:/12148/cb37558551f	ark:/12148/bpt6k64797981	high	970	2304928	99.64	lettres	Recueil des lettres missives de Henri IV. Supplément. Tome IX
ark:/12148/cb375577403	ark:/12148/bpt6k6511446c	high	714	1396671	99.96		 Papiers d'État du cardinal de Granvelle : d'après les manuscrits de la Bibliothèque de Besançon. Tome I
ark:/12148/cb37562365b	ark:/12148/bpt6k6514954k	high	716	1747553	99.43		Archives administratives de la ville de Reims : collection de pièces inédites pouvant servir à l'histoire des institutions dans l'intérieur de la cité. Tome I, partie 2 : XIIIe siècle
ark:/12148/cb37562366p	ark:/12148/bpt6k65172098	high	1046	4105682	99.51		Archives législatives de la ville de Reims : collection de pièces inédites pouvant servir à l'histoire des institutions dans l'intérieur de la cité. Seconde partie : status. Premier volume : 1252-1467
ark:/12148/cb37569635x	ark:/12148/bpt6k6517332v	high	648	1304376	99.32	chartes	Cartulaire de l'abbaye de Saint-Père de Chartres. Tome I
ark:/12148/cb375585565	ark:/12148/bpt6k65214138	high	920	2111955	99.96		Procès-verbaux des États généraux de 1593
ark:/12148/cb37563767c	ark:/12148/bpt6k6529168p	high	800	1484746	99.96		Chronique du religieux de Saint-Denys : contenant le règne de Charles VI, de 1380 à 1422. Tome III
ark:/12148/cb37566390h	ark:/12148/bpt6k6534844d	high	570	1229158	99.91	chartes	Cartulaire de l'église Notre-Dame de Paris. Tome II
ark:/12148/cb37566390h	ark:/12148/bpt6k65348808	high	580	1348369	99.79	chartes	Cartulaire de l'église Notre-Dame de Paris. Tome III
ark:/12148/cb37566390h	ark:/12148/bpt6k65348823	high	514	1305596	99.4	chartes	Cartulaire de l'église Notre-Dame de Paris. Tome IV
ark:/12148/cb37566390h	ark:/12148/bpt6k6534939f	high	732	1565645	99.83 	chartes	Cartulaire de l'église Notre-Dame de Paris. Tome I
ark:/12148/cb37563390s	ark:/12148/bpt6k65349759	high	580	1146449	99.96		Réglemens sur les arts et métiers de Paris : rédigés au XIIIe siècle et connus sous le nom du Livre des métiers d'Étienne Boileau
ark:/12148/cb37562441m			752				Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome I : Campagnes de Flandre, d'Italie et d'Allemagne en 1701
ark:/12148/cb37562441m			1074				Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome IV : Campagnes de Flandre, d'Italie et d'Allemagne en 1704
ark:/12148/cb37562441m			892				Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome V : Campagnes de Flandre, d'Italie et d'Allemagne en 1705
ark:/12148/cb37562441m			890				Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome VI : Campagnes de Flandre, d'Italie et d'Allemagne en 1706
ark:/12148/cb37562441m			711				Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome VIII : Campagnes de Flandre, d'Italie et d'Allemagne en 1708
ark:/12148/cb37562441m			526				Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome IX : Campagnes de Flandre, d'Italie et d'Allemagne en 1709
ark:/12148/cb37562441m			850				Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome X : Campagnes de Flandre, d'Italie et d'Allemagne en 1710
ark:/12148/cb37562441m			728				Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome XI : Extraits de la correspondance de la Cour et des Généraux rédigés au Dépôt de la guerre, de 1763 à 1788
ark:/12148/cb33481529g							Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome I : Cartes, plans et tableaux annexés au 1er et au 2e volume des Mémoires militaires relatifs à la succession d'Espagne
ark:/12148/cb33481529g							Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome II : Cartes, plans et tableaux annexés au 3e volume des Mémoires militaires relatifs à la succession d'Espagne
ark:/12148/cb33481529g							Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome III : Cartes, plans et tableaux annexés au 4e volume des Mémoires militaires relatifs à la succession d'Espagne
ark:/12148/cb33481529g							Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome IV : Cartes, plans et tableaux annexés au 5e volume des Memoires militaires relatifs à la succession d'Espagne
ark:/12148/cb33481529g							Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome V : Cartes, plans et tableaux annexés au 6e volume des Memoires militaires relatifs à la succession d'Espagne
ark:/12148/cb33481529g							Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome VI : Cartes, plans et tableaux annexés au 7e volume des Memoires militaires relatifs à la succession d'Espagne
ark:/12148/cb33481529g							Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome VII : Cartes, plans et tableaux annexés au 8e et 9e volume des Memoires militaires relatifs à la succession d'Espagne
ark:/12148/cb33481529g							Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome VIII : Cartes, plans et tableaux annexés au 10e et 11e volume des Memoires militaires relatifs à la succession d'Espagne
ark:/12148/cb37557750d			650				Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne. Tome II
ark:/12148/cb37557750d			712				Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne. Tome IV
ark:/12148/cb37562365b			706				Archives administratives de la ville de Reims : collection de pièces inédites pouvant servir à l'histoire des institutions dans l'intérieur de la cité. Tome I, partie 1 : Esquisse historique, notice bibliographique
ark:/12148/cb37562365b			616				Archives administratives de la ville de Reims : collection de pièces inédites pouvant servir à l'histoire des institutions dans l'intérieur de la cité. Tome II, partie 2 : 1331-1341
ark:/12148/cb37562365b			910				Archives administratives de la ville de Reims : collection de pièces inédites pouvant servir à l'histoire des institutions dans l'intérieur de la cité. Tome III : 1350-1399
ark:/12148/cb37563767c			806				Chronique du religieux de Saint-Denys : contenant le règne de Charles VI, de 1380 à 1422. Tome VI
ark:/12148/cb37557738j			819			lettres	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome IV : 1630-1635
ark:/12148/cb375629848			647			chartes	Cartulaires de l'église cathédrale de Grenoble : dits Cartulaires de Saint-Hugues
ark:/12148/cb34018041n			610				Rôles gascons. Tome I : 1242-1254
